,datetime,description,icon
0,2022-12-05,Becoming cloudy in the afternoon.,partly-cloudy-day
1,2022-12-06,Cloudy skies throughout the day with late afternoon rain.,rain
2,2022-12-07,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
3,2022-12-08,Partly cloudy throughout the day.,partly-cloudy-day
4,2022-12-09,Clear conditions throughout the day.,clear-day
5,2022-12-10,Partly cloudy throughout the day.,partly-cloudy-day
6,2022-12-11,Cloudy skies throughout the day with rain or snow.,snow
7,2022-12-12,Clearing in the afternoon.,snow
