,datetime,tempmin,temp,tempmax
0,2022-12-12,-3.9,-2.0,1.2
1,2022-12-13,-3.4,0.7,5.0
2,2022-12-14,-5.0,-0.4,2.9
3,2022-12-15,0.6,4.1,6.2
4,2022-12-16,5.7,6.3,7.2
5,2022-12-17,1.7,3.9,6.7
6,2022-12-18,0.6,2.5,5.0
7,2022-12-19,-0.7,1.8,5.6
