,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-12-12,1.2,-3.9,-2.0,-2.6,-10.7,-7.5,-8.9,61.9,0.0,0,0.0,,1.0,0.7,40.7,23.7,339.5,1021.1,55.0,15.9,60.5,5.2,3,10,2022-12-12T07:04:17,2022-12-12T16:11:43,0.59,Partially cloudy,Clearing in the afternoon.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,F2973,OXBM3"
1,"Boston, MA, United States",2022-12-13,5.0,-3.4,0.7,0.2,-9.7,-4.6,-9.5,47.2,0.0,0,0.0,,0.0,0.0,46.1,29.0,301.9,1020.1,23.9,16.0,67.5,5.8,3,10,2022-12-13T07:05:04,2022-12-13T16:11:53,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
2,"Boston, MA, United States",2022-12-14,2.9,-5.0,-0.4,-2.6,-13.7,-6.9,-9.1,52.2,0.0,0,0.0,,0.0,0.0,63.0,43.9,309.5,1016.6,36.3,15.8,65.6,5.6,3,10,2022-12-14T07:05:50,2022-12-14T16:12:05,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702"
3,"Boston, MA, United States",2022-12-15,6.2,0.6,4.1,2.7,-4.4,-0.2,0.6,78.3,0.554,100,37.5,rain,0.0,0.0,57.2,37.8,40.9,1023.6,89.6,14.5,21.1,1.9,2,10,2022-12-15T07:06:33,2022-12-15T16:12:20,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E1152,KOWD,72509854704,BLUM3,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2022-12-16,7.2,5.7,6.3,2.1,0.3,1.0,5.1,92.3,29.178,100,100.0,rain,0.0,0.0,66.2,52.7,64.6,1009.2,100.0,5.2,7.3,0.7,0,10,2022-12-16T07:07:15,2022-12-16T16:12:37,0.76,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,F7922,OXBM3"
5,"Boston, MA, United States",2022-12-17,6.7,1.7,3.9,3.4,-4.1,-0.9,0.9,81.7,4.506,100,41.67,"rain,snow",0.6,0.1,56.8,31.4,303.7,1000.5,84.6,10.9,28.8,2.5,2,10,2022-12-17T07:07:55,2022-12-17T16:12:56,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,F2973,OXBM3"
6,"Boston, MA, United States",2022-12-18,5.0,0.6,2.5,1.2,-4.9,-2.1,-4.2,62.2,0.0,0,0.0,,0.0,0.0,40.7,23.9,277.0,1009.7,53.0,16.0,52.8,4.5,3,10,2022-12-18T07:08:33,2022-12-18T16:13:18,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,F6999,72505914702,OXBM3"
7,"Boston, MA, United States",2022-12-19,5.6,-0.7,1.8,1.1,-6.3,-3.3,-5.6,58.2,0.0,0,0.0,,0.0,0.0,44.8,31.8,287.5,1017.3,42.0,15.9,58.0,5.0,3,10,2022-12-19T07:09:09,2022-12-19T16:13:42,0.91,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,KBED,0518W,KBOS,F6999,OXBM3"
