,datetime,tempmin,temp,tempmax
0,2022-12-19,-0.7,1.8,5.6
1,2022-12-20,-1.2,1.2,5.0
2,2022-12-21,-2.8,0.6,3.9
3,2022-12-22,0.0,3.8,8.4
4,2022-12-23,-4.5,8.0,12.3
5,2022-12-24,-6.4,-5.1,-3.5
6,2022-12-25,-7.9,-5.6,-2.8
7,2022-12-26,-6.7,-4.4,-2.3
