,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2022-12-19,5.6,-0.7,1.8,1.1,-6.3,-3.3,-5.6,58.2,0.0,0,0.0,,0,0,44.8,31.8,287.5,1017.3,42.0,15.9,58.0,5.0,3,10,2022-12-19T07:09:09,2022-12-19T16:13:42,0.91,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,KBED,0518W,KBOS,F6999,OXBM3"
1,"Boston, MA, United States",2022-12-20,5.0,-1.2,1.2,1.9,-6.8,-3.7,-6.4,57.4,0.0,0,0.0,,0,0,46.4,29.1,313.4,1026.0,17.3,16.0,68.4,5.8,3,10,2022-12-20T07:09:43,2022-12-20T16:14:09,0.95,Clear,Clear conditions throughout the day.,clear-day,"KOWD,KBED,0518W,KBOS,F6999,OXBM3"
2,"Boston, MA, United States",2022-12-21,3.9,-2.8,0.6,3.9,-7.0,-2.1,-5.7,63.6,0.0,0,0.0,,0,0,20.5,16.2,299.5,1031.4,26.0,20.4,73.3,6.2,4,10,2022-12-21T07:10:14,2022-12-21T16:14:37,0.98,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,KBED,0518W,KBOS"
3,"Boston, MA, United States",2022-12-22,8.4,0.0,3.8,4.3,-1.9,1.0,-0.4,74.2,0.3,81,8.33,rain,0,0,44.3,31.3,106.6,1030.0,74.0,18.3,60.7,5.3,3,10,2022-12-22T07:10:44,2022-12-22T16:15:08,1.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
4,"Boston, MA, United States",2022-12-23,12.3,-4.5,8.0,12.3,-12.6,5.2,5.1,82.4,61.1,99,29.17,"rain,snow",0,0,94.3,48.2,152.5,997.3,89.5,15.5,9.7,0.9,1,10,2022-12-23T07:11:11,2022-12-23T16:15:41,0.0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,
5,"Boston, MA, United States",2022-12-24,-3.5,-6.4,-5.1,-10.5,-14.0,-12.6,-15.6,43.9,0.0,0,0.0,,0,0,68.8,30.2,232.7,1002.3,34.0,24.1,94.6,8.3,4,10,2022-12-24T07:11:36,2022-12-24T16:16:16,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Boston, MA, United States",2022-12-25,-2.8,-7.9,-5.6,-8.7,-15.4,-12.3,-16.4,42.5,0.0,0,0.0,,0,0,39.6,22.3,241.5,1013.1,2.7,24.1,98.2,8.5,4,10,2022-12-25T07:11:59,2022-12-25T16:16:53,0.03,Clear,Clear conditions throughout the day.,clear-day,
7,"Boston, MA, United States",2022-12-26,-2.3,-6.7,-4.4,-7.2,-12.7,-10.0,-15.0,44.0,0.0,0,0.0,,0,0,30.2,18.4,261.5,1020.6,4.5,24.1,97.6,8.7,4,10,2022-12-26T07:12:20,2022-12-26T16:17:33,0.07,Clear,Clear conditions throughout the day.,clear-day,
